page,source_url,src_len,count,yes,no,ii,dk
https://www.snopes.com/fact-check/facebook-amen-ban/,https://www.facebook.com/amenrockperu,4,3,1,2,0,0
https://www.snopes.com/fact-check/facebook-amen-ban/,https://www.facebook.com/amen.communication/?ref=br_rs,4,3,1,2,0,0
https://www.snopes.com/fact-check/board-stiff/,http://web.archive.org/web/20060827073359/http://www.thatgirlemily.blogspot.com/,2,3,2,1,0,0
https://www.snopes.com/fact-check/board-stiff/,http://web.archive.org/web/20060823073153/http://www.courttv.com/onair/shows/parco/,2,1,0,1,0,0
https://www.snopes.com/fact-check/article-iii-section-iv/,https://www.law.cornell.edu/constitution/articleiii,1,0,0,0,0,0
https://www.snopes.com/fact-check/jeff-bezos-donald-trump-amazon/,https://www.washingtonpost.com/lifestyle/style/not-an-appropriate-way-for-a-presidential-candidate-to-behave-bezos-fires-back-at-donald-trump/2016/05/18/b72f5054-1d1a-11e6-8c7b-6931e66333e7_story.html,1,0,0,0,0,0
https://www.snopes.com/fact-check/pope-francis-kim-davis/,http://www.msn.com/en-us/news/us/update-1-pope-did-not-give-unconditional-support-to-clerk-in-gay-marriage-row-vatican/ar-AAf1P79,1,3,2,1,0,0
https://www.snopes.com/fact-check/katy-perry-cannibalism/,http://archive.is/XRIwH,1,3,3,0,0,0
https://www.snopes.com/fact-check/bikers-for-trump-tattoos/,https://www.adl.org/education/references/hate-symbols/ss-bolts,3,0,0,0,0,0
https://www.snopes.com/fact-check/bikers-for-trump-tattoos/,https://www.usatoday.com/story/news/2018/08/04/portland-right-wing-anti-fascist-rallies-patriot-prayer/904871002/,3,0,0,0,0,0
https://www.snopes.com/fact-check/bikers-for-trump-tattoos/,https://www.mycentraljersey.com/story/news/politics/2018/08/12/bikers-trump-meet-president-bedminster/971280002/,3,0,0,0,0,0
https://www.snopes.com/fact-check/joes-crab-shack-criticized-displaying-picture-man-hanged/,http://www.kare11.com/article/news/joes-crab-shack-sorry-for-controversial-picture/89-76511942,1,0,0,0,0,0
https://www.snopes.com/fact-check/holiday-hate/,https://web.archive.org/web/20080131180428/http://www.nbc5i.com/holidays/2699927/detail.html,1,3,3,0,0,0
https://www.snopes.com/fact-check/pope-mandatory-sterilization-climate-change/,https://www.catholicculture.org/culture/library/view.cfm?recnum=5234,1,3,0,3,0,0
https://www.snopes.com/fact-check/mh370-pilot-mysteriously-resurfaces/,http://www.irrawaddy.com/burma/body-burmese-man-repatriated-alleged-murder-malaysia.html,2,1,0,1,0,0
https://www.snopes.com/fact-check/mh370-pilot-mysteriously-resurfaces/,http://www.themalaysianinsider.com/malaysia/article/from-murder-accused-to-royalty-doctor-treating-anwar-says-all-get-best-care,2,0,0,0,0,0
https://www.snopes.com/fact-check/phone-home-2/,http://archive.4plebs.org/pol/thread/27834494/,1,3,3,0,0,0
https://www.snopes.com/fact-check/ashley-flores/,http://web.archive.org/web/20071223025808/http://www.rollacity.org/events.shtm#ashley,2,1,0,1,0,0
https://www.snopes.com/fact-check/ashley-flores/,http://www.missingkids.com/,2,0,0,0,0,0
https://www.snopes.com/fact-check/melania-trump-exterminate-shirt-holocaust/,http://archive.is/rbQPW,2,3,2,1,0,0
https://www.snopes.com/fact-check/melania-trump-exterminate-shirt-holocaust/,http://archive.li/bOTgN,2,0,0,0,0,0
https://www.snopes.com/fact-check/protesters-beat-homeless-veteran/,http://christiantimesnewspaper.com/breaking-protesters-beat-homeless-veteran-to-death-in-philadelphia/,1,0,0,0,0,0
https://www.snopes.com/fact-check/biden-blames-lazy-american-women/,http://therightists.com/about-us/,1,3,0,0,3,0
https://www.snopes.com/fact-check/omar-take-over-america/,http://archive.fo/HbTgW,3,0,0,0,0,0
https://www.snopes.com/fact-check/omar-take-over-america/,https://www.theatlantic.com/ideas/archive/2019/04/ilhan-omars-deeply-american-message-to-cair/587131/,3,0,0,0,0,0
https://www.snopes.com/fact-check/omar-take-over-america/,http://archive.fo/zIc9x,3,0,0,0,0,0
https://www.snopes.com/fact-check/satanic-dungeon-chuck-e-cheese/,https://www.dnainfo.com/chicago/20131021/lincoln-park/chuck-e-cheese-brawl-lincoln-park-leads-two-arrests,1,3,0,3,0,0
https://www.snopes.com/fact-check/happiness-envy/,http://us.imdb.com/Title?0106400,1,1,0,0,1,0
https://www.snopes.com/fact-check/police-burn-standing-rock-camp/,https://www.facebook.com/photo.php?fbid=10106294079610813&set=a.910210344023.2594180.1216853&type=3,2,1,0,0,1,0
https://www.snopes.com/fact-check/police-burn-standing-rock-camp/,http://archive.is/LLXc2,2,3,2,1,0,0
https://www.snopes.com/fact-check/trader-joes-april-fools-day/,https://www.yahoo.com/news/trader-joe-close-stores-2017-104416372.html,1,3,0,1,2,0
https://www.snopes.com/fact-check/dont-judge-challenge-sharpie/,http://themetapicture.com/can-you-die-from-this/,1,3,1,0,2,0
https://www.snopes.com/fact-check/oj-simpson-back-in-custody/,http://archive.is/KKILG,1,0,0,0,0,0
https://www.snopes.com/fact-check/warrick-dunn-build-homes/,https://wdc.org/about-us/,3,0,0,0,0,0
https://www.snopes.com/fact-check/warrick-dunn-build-homes/,https://wdc.org/role-impact-programs/homes-for-the-holidays/,3,0,0,0,0,0
https://www.snopes.com/fact-check/warrick-dunn-build-homes/,https://www.ninersnation.com/2018/1/31/16956016/colin-kaepernick-donations-full-list-of-organizations-one-million-dollars,3,0,0,0,0,0
https://www.snopes.com/fact-check/obama-campaign-use-tactics-cambridge-analytica/,https://techcrunch.com/2015/04/28/facebook-api-shut-down/,14,4,0,1,3,0
https://www.snopes.com/fact-check/obama-campaign-use-tactics-cambridge-analytica/,https://www.channel4.com/news/exposed-undercover-secrets-of-donald-trump-data-firm-cambridge-analytica,14,4,1,3,0,0
https://www.snopes.com/fact-check/obama-campaign-use-tactics-cambridge-analytica/,https://newsroom.fb.com/news/2018/03/suspending-cambridge-analytica/,14,5,1,4,0,0
https://www.snopes.com/fact-check/obama-campaign-use-tactics-cambridge-analytica/,https://www.washingtonpost.com/news/the-switch/wp/2018/03/20/ftc-opens-investigation-into-facebook-after-cambridge-analytica-scrapes-millions-of-users-personal-information/?utm_term=.7e55d834a936,14,0,0,0,0,0
https://www.snopes.com/fact-check/obama-campaign-use-tactics-cambridge-analytica/,https://www.channel4.com/news/data-democracy-and-dirty-tricks-cambridge-analytica-uncovered-investigation-expose,14,4,2,2,0,0
https://www.snopes.com/fact-check/obama-campaign-use-tactics-cambridge-analytica/,https://medium.com/@rayid/why-what-cambridge-analytica-did-was-unacceptable-eb5c313b55f8,14,5,1,1,3,0
https://www.snopes.com/fact-check/obama-campaign-use-tactics-cambridge-analytica/,https://www.channel4.com/news/cambridge-analytica-revealed-trumps-election-consultants-filmed-saying-they-use-bribes-and-sex-workers-to-entrap-politicians-investigation,14,6,1,5,0,0
https://www.snopes.com/fact-check/obama-campaign-use-tactics-cambridge-analytica/,https://www.cnn.com/2018/03/20/politics/alexander-nix-cambridge-analytica/index.html,14,4,0,4,0,0
https://www.snopes.com/fact-check/obama-campaign-use-tactics-cambridge-analytica/,https://www.usatoday.com/story/news/politics/2018/02/19/trump-blames-obama-again-not-doing-enough-russian-meddling/352385002/,14,5,0,5,0,0
https://www.snopes.com/fact-check/obama-campaign-use-tactics-cambridge-analytica/,https://rationalwiki.org/wiki/Whataboutism,14,3,0,3,0,0
https://www.snopes.com/fact-check/obama-campaign-use-tactics-cambridge-analytica/,https://www.bloomberg.com/news/articles/2016-10-27/inside-the-trump-bunker-with-12-days-to-go,14,5,1,4,0,0
https://www.snopes.com/fact-check/obama-campaign-use-tactics-cambridge-analytica/,https://www.npr.org/2017/08/31/547546931/4-things-to-know-about-erik-prince,14,4,0,0,4,0
https://www.snopes.com/fact-check/obama-campaign-use-tactics-cambridge-analytica/,https://www.nbcnews.com/nightly-news/video/facebook-stock-value-falls-amid-growing-backlash-1192736323761,14,3,0,2,1,0
https://www.snopes.com/fact-check/obama-campaign-use-tactics-cambridge-analytica/,https://www.washingtonpost.com/world/europe/the-latest-cambridge-analytica-links-to-blackwater-founder/2018/03/21/255bd508-2cf9-11e8-8dc9-3b51e028b845_story.html?utm_term=.d891d0973444,14,0,0,0,0,0
https://www.snopes.com/fact-check/millennial-testicles-bernie-funds/,https://unos.org/news/national-organ-transplant-act-enacted-30-years-ago/,4,0,0,0,0,0
https://www.snopes.com/fact-check/millennial-testicles-bernie-funds/,https://web.archive.org/web/20190307231251/https://npcdaily.com/2502/brave-millennial-sells-testicles-to-raise-money-for-bernies-2020-campaign/,4,0,0,0,0,0
https://www.snopes.com/fact-check/millennial-testicles-bernie-funds/,https://www.pexels.com/photo/close-up-photography-of-man-wearing-sunglasses-1212984/,4,0,0,0,0,0
https://www.snopes.com/fact-check/millennial-testicles-bernie-funds/,https://npcdaily.com/about/,4,0,0,0,0,0
https://www.snopes.com/fact-check/cereal-killers/,http://frosties.i8.com/,1,1,0,0,1,0
https://www.snopes.com/fact-check/student-suspended-pretending-transgender-locker-room/,http://archive.is/qfBKz,2,2,2,0,0,0
https://www.snopes.com/fact-check/student-suspended-pretending-transgender-locker-room/,https://archive.is/qfBKz,2,0,0,0,0,0
https://www.snopes.com/fact-check/school-shootings-us-vs-world/,https://www.washingtonpost.com/graphics/2018/local/school-shootings-database/,5,0,0,0,0,0
https://www.snopes.com/fact-check/school-shootings-us-vs-world/,https://www.cnn.com/2018/05/21/us/school-shooting-us-versus-world-trnd/index.html,5,0,0,0,0,0
https://www.snopes.com/fact-check/school-shootings-us-vs-world/,https://theirworld.org/news/gang-wars-hit-honduras-schools,5,0,0,0,0,0
https://www.snopes.com/fact-check/school-shootings-us-vs-world/,https://www.thedailybeast.com/back-to-school-in-the-worlds-murder-capital,5,0,0,0,0,0
https://www.snopes.com/fact-check/school-shootings-us-vs-world/,https://data.worldbank.org/,5,0,0,0,0,0
https://www.snopes.com/fact-check/tax-bill-small-business-deductions/,https://finance.yahoo.com/news/senate-tax-plan-means-small-140100469.html,2,2,1,1,0,0
https://www.snopes.com/fact-check/tax-bill-small-business-deductions/,https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rXqXuQfYbRas/v0,2,0,0,0,0,0
https://www.snopes.com/fact-check/gringo/,http://www.contemplator.com/america/lilacs.html,1,3,2,1,0,0
https://www.snopes.com/fact-check/amelia-bassano-william-shakespeare/,http://njjewishnews.com/njjn.com/022808/ltKosherBard.html,2,0,0,0,0,0
https://www.snopes.com/fact-check/amelia-bassano-william-shakespeare/,http://www.shakespeareanauthorshiptrust.org.uk/pages/candidates.htm,2,1,0,1,0,0
https://www.snopes.com/fact-check/are-charitable-ngos-trafficking-people-across-the-mediterranean/,https://www.iom.int/news/mediterranean-migrant-arrivals-reach-114287-2017-2385-deaths,2,1,0,1,0,0
https://www.snopes.com/fact-check/are-charitable-ngos-trafficking-people-across-the-mediterranean/,https://www.forbes.com/sites/mattdrange/2017/01/09/chuck-johnson-troll-trump-transition-team/#207f7b35265e,2,1,0,0,1,0
https://www.snopes.com/fact-check/ciceros-view-of-life/,http://occupywallst.org/forum/ciceros-theory-106-bc-43-bc-still-in-practice/,1,3,3,0,0,0
https://www.snopes.com/fact-check/gun-deaths-wars/,https://babel.hathitrust.org/cgi/pt?id=uc1.%24c16512;view=1up;seq=1,5,0,0,0,0,0
https://www.snopes.com/fact-check/gun-deaths-wars/,https://opinionator.blogs.nytimes.com/2011/09/20/recounting-the-dead/,5,0,0,0,0,0
https://www.snopes.com/fact-check/gun-deaths-wars/,http://icasualties.org/,5,0,0,0,0,0
https://www.snopes.com/fact-check/gun-deaths-wars/,https://www.dmdc.osd.mil/dcas/pages/casualties.xhtml,5,0,0,0,0,0
https://www.snopes.com/fact-check/gun-deaths-wars/,https://www.nbcnews.com/storyline/las-vegas-shooting/more-americans-killed-guns-1968-all-u-s-wars-combined-n807156,5,0,0,0,0,0
https://www.snopes.com/fact-check/oxford-butts-study/,http://apus.libanswers.com/faq/2324,2,1,0,1,0,0
https://www.snopes.com/fact-check/oxford-butts-study/,https://t.co/dPzbfoUdvb,2,1,0,0,1,0
https://www.snopes.com/fact-check/trump-renamed-black-history-month/,https://georgewbush-whitehouse.archives.gov/history/africanamerican/,4,0,0,0,0,0
https://www.snopes.com/fact-check/trump-renamed-black-history-month/,https://obamawhitehouse.archives.gov/the-press-office/2015/01/30/presidential-proclamation-national-african-american-history-month-2015,4,0,0,0,0,0
https://www.snopes.com/fact-check/trump-renamed-black-history-month/,https://fordlibrarymuseum.gov/library/speeches/760074.htm,4,0,0,0,0,0
https://www.snopes.com/fact-check/trump-renamed-black-history-month/,https://archive.is/pBvoI,4,0,0,0,0,0
https://www.snopes.com/fact-check/pamela-murphy/,http://www.audiemurphy.com/,1,3,0,1,2,0
https://www.snopes.com/fact-check/adidas/,http://www.adidas-group.com/en/ourgroup/history/history.aspx,1,0,0,0,0,0
https://www.snopes.com/fact-check/journal-endorses-911-conspiracy-theory/,http://www.beyondmisinformation.org/#beyond-misinformation,3,0,0,0,0,0
https://www.snopes.com/fact-check/journal-endorses-911-conspiracy-theory/,http://www.scholarsfor911truth.org/21-2/,3,0,0,0,0,0
https://www.snopes.com/fact-check/journal-endorses-911-conspiracy-theory/,https://www.nist.gov/engineering-laboratory/final-reports-nist-world-trade-center-disaster-investigation,3,0,0,0,0,0
https://www.snopes.com/fact-check/chris-collins-john-lewis-spoiled-chimp/,http://www.newslo.com/about-us/,2,0,0,0,0,0
https://www.snopes.com/fact-check/chris-collins-john-lewis-spoiled-chimp/,https://buffalonews.com/2017/01/16/collins-compares-lewis-spoiled-child-fox-business-news/,2,1,0,1,0,0
https://www.snopes.com/fact-check/jefferson-davis-statue-barack-obama/,https://archive.is/TMIit,1,4,4,0,0,0
https://www.snopes.com/fact-check/tony-and-john-podesta-match-madeleine-mccann-police-sketches/,https://t.co/8LBhBacREd,6,0,0,0,0,0
https://www.snopes.com/fact-check/tony-and-john-podesta-match-madeleine-mccann-police-sketches/,http://archive.is/i5QAw,6,0,0,0,0,0
https://www.snopes.com/fact-check/tony-and-john-podesta-match-madeleine-mccann-police-sketches/,http://archive.is/wCzpP,6,0,0,0,0,0
https://www.snopes.com/fact-check/tony-and-john-podesta-match-madeleine-mccann-police-sketches/,https://en.wikipedia.org/wiki/John_Podesta,6,0,0,0,0,0
https://www.snopes.com/fact-check/tony-and-john-podesta-match-madeleine-mccann-police-sketches/,http://archive.is/3PWTL,6,0,0,0,0,0
https://www.snopes.com/fact-check/tony-and-john-podesta-match-madeleine-mccann-police-sketches/,http://archive.is/BCWVA,6,0,0,0,0,0
https://www.snopes.com/fact-check/red-cross-charge-disaster-victims-assist/,http://www.semredcross.org/about/ask_us.html,2,1,0,0,1,0
https://www.snopes.com/fact-check/red-cross-charge-disaster-victims-assist/,http://archive.is/55UVg,2,0,0,0,0,0
https://www.snopes.com/fact-check/mit-pirate-certificate/,https://www.facebook.com/HistoryHustle/posts/2005945169675466,1,1,0,1,0,0
https://www.snopes.com/fact-check/trump-russian-poorly-endowed/,http://archive.is/k0qZx,2,0,0,0,0,0
https://www.snopes.com/fact-check/trump-russian-poorly-endowed/,http://archive.is/9Ho8D,2,0,0,0,0,0
https://www.snopes.com/fact-check/lindsey-graham-nominate-trump/,https://www.weeklystandard.com/john-mccormack/the-neo-trumper,5,0,0,0,0,0
https://www.snopes.com/fact-check/lindsey-graham-nominate-trump/,https://mashable.com/article/lindsey-graham-tweets/,5,0,0,0,0,0
https://www.snopes.com/fact-check/lindsey-graham-nominate-trump/,https://www.washingtonpost.com/politics/2018/10/02/how-lindsey-graham-became-donald-trumps-greatest-ally-senate/?utm_term=.ca23f12ca029,5,0,0,0,0,0
https://www.snopes.com/fact-check/lindsey-graham-nominate-trump/,https://www.cnn.com/2015/12/21/politics/lindsey-graham-2016-campaign-drops-out/index.html,5,0,0,0,0,0
https://www.snopes.com/fact-check/lindsey-graham-nominate-trump/,https://www.bostonglobe.com/news/politics/2018/09/27/watch-lindsey-graham-angry-defense-brett-kavanaugh/lWntvrd4xP02cXr5R7w25L/story.html,5,0,0,0,0,0
https://www.snopes.com/fact-check/monopoly-games-escape-kits/,https://www.amazon.com/gp/product/1591392691/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1591392691&linkCode=as2&tag=urbanlegendsrefe&linkId=71e6e72d800f5a863e846cea931adbb4,1,4,0,4,0,0
https://www.snopes.com/fact-check/mantle-piece/,https://www.amazon.com/gp/product/0060883529/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=0060883529&linkCode=as2&tag=urbanlegendsrefe&linkId=bdcf535a4721cec3541dadbf4049e8b6,1,3,1,1,1,0
https://www.snopes.com/fact-check/mother-arrested-after-tattooing-her-son/,https://imnotatoy.com/2012/02/19/yung-thugga/,1,3,0,2,1,0
https://www.snopes.com/fact-check/ca-125/,http://web.archive.org/web/20001118125500/www2.cancer.org/zine/index.cfm?fn=002_10081998_0,2,1,0,1,0,0
https://www.snopes.com/fact-check/ca-125/,http://web.archive.org/web/20010702005723/http://www3.cancer.org/cancerinfo/load_cont.asp?ct=33&st=ds,2,1,0,1,0,0
https://www.snopes.com/fact-check/thomas-jefferson-speech-condemns-free-press/,https://www.law.cornell.edu/constitution/first_amendment,1,0,0,0,0,0
https://www.snopes.com/fact-check/apple-jacked/,https://www.funkyclock.com/ca/terms,1,0,0,0,0,0
https://www.snopes.com/fact-check/400-papers-published-in-2017-prove-that-global-warming-is-myth/,https://www.bloomberg.com/news/features/2017-08-29/medical-journals-have-a-fake-news-problem,10,0,0,0,0,0
https://www.snopes.com/fact-check/400-papers-published-in-2017-prove-that-global-warming-is-myth/,http://www.clim-past.net/13/93/2017/,10,0,0,0,0,0
https://www.snopes.com/fact-check/400-papers-published-in-2017-prove-that-global-warming-is-myth/,http://archive.is/pYkzA,10,0,0,0,0,0
https://www.snopes.com/fact-check/400-papers-published-in-2017-prove-that-global-warming-is-myth/,https://www.ipso.co.uk/rulings-and-resolution-statements/ruling/?id=01032-17,10,0,0,0,0,0
https://www.snopes.com/fact-check/400-papers-published-in-2017-prove-that-global-warming-is-myth/,http://archive.is/JQqIX,10,0,0,0,0,0
https://www.snopes.com/fact-check/400-papers-published-in-2017-prove-that-global-warming-is-myth/,http://archive.is/vfazf#selection-873.0-887.18,10,0,0,0,0,0
https://www.snopes.com/fact-check/400-papers-published-in-2017-prove-that-global-warming-is-myth/,https://climatefeedback.org/evaluation/breitbart-misrepresents-research-58-scientific-papers-falsely-claim-disprove-human-caused-global-warming-james-delingpole/#authors-reply,10,0,0,0,0,0
https://www.snopes.com/fact-check/400-papers-published-in-2017-prove-that-global-warming-is-myth/,https://climatefeedback.org/evaluation/breitbart-misrepresents-research-58-scientific-papers-falsely-claim-disprove-human-caused-global-warming-james-delingpole/,10,0,0,0,0,0
https://www.snopes.com/fact-check/400-papers-published-in-2017-prove-that-global-warming-is-myth/,http://archive.is/iKmhX,10,0,0,0,0,0
https://www.snopes.com/fact-check/400-papers-published-in-2017-prove-that-global-warming-is-myth/,http://archive.is/q93wk,10,0,0,0,0,0
https://www.snopes.com/fact-check/gender-pepper/,https://www.pinterest.com/search/pins/?q=bell%20pepper%20gender&term_meta%5B%5D=bell%7Ctyped&term_meta%5B%5D=pepper%7Ctyped&term_meta%5B%5D=gender%7Ctyped,1,1,0,0,1,0
https://www.snopes.com/fact-check/mexico-border-trump-elected/,http://archive.is/U4dtG,1,0,0,0,0,0
https://www.snopes.com/fact-check/chick-fil-a-crime-legislation/,https://www.cnn.com/2018/06/13/health/pride-month-explainer-trnd/index.html,3,0,0,0,0,0
https://www.snopes.com/fact-check/chick-fil-a-crime-legislation/,https://www.usatoday.com/story/tech/nation-now/2018/06/11/twitter-jack-dorsey-chick-fil-pride/691298002/,3,0,0,0,0,0
https://www.snopes.com/fact-check/chick-fil-a-crime-legislation/,https://www.washingtonpost.com/news/on-leadership/wp/2018/06/11/square-ceo-jack-dorsey-gets-blasted-from-both-sides-after-a-tweet-about-chick-fil-a/,3,0,0,0,0,0
https://www.snopes.com/fact-check/congress-use-slush-fund-pay-17-million-women-sexually-harassed/,https://www.washingtonpost.com/news/morning-mix/wp/2017/11/30/the-lament-of-actor-terry-crews-even-a-hulking-ex-linebacker-can-be-sexually-harassed-in-hollywood/?utm_term=.341c4414ec5c,2,0,0,0,0,0
https://www.snopes.com/fact-check/congress-use-slush-fund-pay-17-million-women-sexually-harassed/,https://www.hollywoodreporter.com/news/george-takei-accused-sexually-assaulting-model-1981-1056698,2,1,0,1,0,0
https://www.snopes.com/fact-check/donald-trump-kent-state/,https://en.wikipedia.org/wiki/Mary_Ann_Vecchio,1,3,0,3,0,0
https://www.snopes.com/fact-check/trump-administration-set-legalize-medical-marijuana-50-states/,https://archive.li/6cUQr,3,0,0,0,0,0
https://www.snopes.com/fact-check/trump-administration-set-legalize-medical-marijuana-50-states/,https://en.wikipedia.org/wiki/Right-to-try_law,3,0,0,0,0,0
https://www.snopes.com/fact-check/trump-administration-set-legalize-medical-marijuana-50-states/,https://www.congress.gov/bill/115th-congress/house-bill/878/text?format=txt,3,0,0,0,0,0
https://www.snopes.com/fact-check/612-credit-for-deserving-americans/,http://archive.is/FTj0o/,3,0,0,0,0,0
https://www.snopes.com/fact-check/612-credit-for-deserving-americans/,https://archive.is/E6kg5,3,0,0,0,0,0
https://www.snopes.com/fact-check/612-credit-for-deserving-americans/,https://archive.is/xce3w,3,0,0,0,0,0
